seed,k,auc
4,37,0.6821986640099704
4,39,0.6841982921697918
4,41,0.6855468787118305
4,43,0.6853608666877976
4,45,0.6815941252344496
4,47,0.6868489621992561
4,49,0.6839657775139139
4,51,0.6852213521440489
5,1,0.6838768180500001
5,3,0.7153532687042119
5,5,0.7104846092600771
5,7,0.7057857867783968
5,9,0.7096354245638135
5,11,0.708786239645471
5,13,0.7062386853407155
5,15,0.6998414934793704
5,17,0.6929914028956069
5,19,0.7166553530096921
5,21,0.7303555354172782
5,23,0.7306385971242981
5,25,0.723165771162432
5,27,0.7351109705328804
5,29,0.7269021842212862
5,31,0.7283174926145379
5,33,0.7269587969729168
5,35,0.7279212068932744
5,37,0.7286571675801404
5,39,0.7252604284926178
5,41,0.7246943054414177
5,43,0.7280910450543026
5,45,0.7281476580970562
5,47,0.7222033545415538
5,49,0.7124660371540765
5,51,0.7091825224838774
6,1,0.5673077009
6,3,0.5994925288651713
6,5,0.6427617515783122
6,7,0.618189102237981
6,9,0.6376869676678422
6,11,0.6806890995818111
6,13,0.6809561899999734
6,15,0.6985843966266561
6,17,0.7099359006693913
6,19,0.7227564132799682
6,21,0.7073985119880345
6,23,0.7043269270198721
6,25,0.6989850504618327
6,27,0.6961805564772973
6,29,0.6947115362676285
6,31,0.6920405917893697
6,33,0.6911057638354969
6,35,0.691773502344685
6,37,0.69818376302906
6,39,0.7051282098768432
6,41,0.7116720084171744
6,43,0.7020566262447385
6,45,0.6967147477891831
6,47,0.6921741533194448
6,49,0.6927083436633817
6,51,0.7021901853173617
7,1,0.60043286995
7,3,0.5986146856726406
7,5,0.6402597073047185
7,7,0.6644155514790908
7,9,0.701558408728398
7,11,0.7453679321952811
7,13,0.794458841891385
7,15,0.8490908767444152
7,17,0.8417315691907787
7,19,0.813939361216926
7,21,0.833419881102294
7,23,0.8432900111977485
7,25,0.843463171050389
7,27,0.8421644695976187
7,29,0.8191341665778351
7,31,0.8214718289473156
7,33,0.8256276731095233
7,35,0.8264934738550646
7,37,0.8161904434529866
7,39,0.808744555982294
7,41,0.8143722618021209
7,43,0.7999133870995667
7,45,0.7917748589071859
7,47,0.7947185818787874
7,49,0.7896103567282248
7,51,0.7822510493346748
8,1,0.55729163855
8,3,0.46972655231614646
8,5,0.5300564196258688
8,7,0.4819878410215285
8,9,0.5552300316574661
8,11,0.579535587887848
8,13,0.6260850695414939
8,15,0.6904296903093758
8,17,0.7019314266211814
8,19,0.722113717800348
8,21,0.7611762232253481
8,23,0.7915581642163203
8,25,0.7978515543536463
8,27,0.8040364540932297
8,29,0.8018663217357646
8,31,0.8003472265939243
8,33,0.8044704859331603
8,35,0.7987196204710076
8,37,0.7958984434770843
8,39,0.790581605519966
8,41,0.7899305675506955
8,43,0.7948133825184038
